Titre,Année,Durée,Genres,Note,Votes
La chatte des montagne,1921,79,"Comedy,Drama,Romance",6.9,1064
Un homme libre,1921,50,Western,4.5,33
Ginette détective par amour,1921,50,Comedy,7.0,5
Beauté noire,1921,70,Drama,5.9,11
La terre qui chante,1921,50,Drama,6.8,23
Les millions de Fatty,1921,61,Comedy,6.9,29
Le pirate,1921,70,"Adventure,Fantasy,Romance",6.4,168
La dame aux camélias,1921,72,"Drama,Romance",6.6,886
Les aventures du Capitaine Barclay,1921,60,Adventure,1.6,8
Son enfant,1921,72,Drama,5.8,8
Eugénie Grandet,1921,89,"Drama,Romance",6.7,422
Fatty veut se marier,1921,50,Comedy,7.2,6
La maison du mensonge,1921,60,Drama,7.0,26
Danton,1921,60,Drama,6.6,30
Fatty détective amateur,1921,50,Comedy,6.6,8
Faut-il avouer?,1921,50,"Comedy,Romance",6.1,11
La rue des rêves,1921,102,"Comedy,Drama,Romance",5.5,140
La mauvaise brebis,1921,58,"Comedy,Romance",6.4,117
El Dorado,1921,100,Drama,7.0,371
Enchantement,1921,90,Comedy,6.4,275
Le paradis d'un fou,1921,90,Romance,7.1,19
Le fruit défendu,1921,87,Drama,6.5,133
Les quatre cavaliers de l'apocalypse,1921,150,"Drama,Romance,War",7.2,3106
Fatty fait de l'auto,1921,50,Comedy,7.0,8
La galère infernale,1920,70,Drama,5.5,18
L'heure suprême,1921,70,Drama,6.0,11
Respectez la femme,1921,80,Drama,7.1,41
Hamlet,1921,131,Drama,7.0,394
L'escalier de service,1921,50,Drama,6.8,221
Risque-tout,1921,\N,"Action,Adventure,Crime",6.9,9
Le triomphe du rail,1921,70,Adventure,5.8,9
Le coeur de Janette,1921,50,"Drama,Romance",5.2,28
À travers les rapides,1921,84,Drama,6.8,223
Justice d'abord,1921,\N,\N,6.2,8
Le Kid,1921,68,"Comedy,Drama,Family",8.3,115386
La charrette fantôme,1921,107,"Drama,Fantasy,Horror",8.1,10944
Les chemins de la terreur,1921,90,Drama,5.4,60
Lady Hamilton,1921,\N,"Drama,History",5.8,22
Le cirque Jim,1921,85,"Drama,Romance",5.9,9
"Tu trembles, Fatty",1924,56,Comedy,6.1,275
Le petit Lord Fauntleroy,1921,112,Drama,6.7,283
Endiablée,1921,60,Drama,6.8,45
